"mean","error","axis","group","mean.x","mean.y","error.x","error.y"
9.92437,0.5210084,"y","orangeGrp",161,152,161,90
8.428571,0.512605,"y","orangeGrp",285,330,285,269
9.226891,0.6470588,"y","cherryGrp",393,235,393,158
8.058824,0.605042,"y","cherryGrp",516,374,516,302
